dataset,model,strategy,time_seconds,vram_peak_gb,cpu_ram_delta_gb,cached
mage,llada_8b_base,score,3878.6641902923584,0.0,0.046298980712890625,False
mage,llada_8b_base,pawn,39330.328446149826,0.0,0.08446502685546875,False
mage,llada_8b_base,embedding,4012.557379722595,0.0,-0.2824363708496094,False
mage,llada_8b_base,zero_shot,4012.2291469573975,0.0,0.036785125732421875,False
mage,llada_8b_vrpo,score,3966.306003332138,0.0,-0.045166015625,False
mage,llada_8b_vrpo,pawn,38611.6180973053,0.0,-0.06316757202148438,False
mage,llada_8b_vrpo,embedding,3921.790454387665,0.0,-0.1242523193359375,False
mage,llada_8b_vrpo,zero_shot,3994.8469264507294,0.0,0.12415695190429688,False
mage,dream_llada_7b,score,3519.380547761917,0.0,-1.9073486328125e-05,False
mage,dream_llada_7b,pawn,34877.84767127037,0.0,0.05666351318359375,False
mage,dream_llada_7b,embedding,3403.194545507431,0.0,-0.005298614501953125,False
mage,dream_llada_7b,zero_shot,3578.890483379364,0.0,-0.31404876708984375,False
raid,llada_8b_base,score,4067.944203853607,0.0,0.00974273681640625,False
raid,llada_8b_base,pawn,41381.869327545166,0.0,-0.10291671752929688,False
raid,llada_8b_base,embedding,4138.858169794083,0.0,-0.000179290771484375,False
raid,llada_8b_base,zero_shot,4190.977625370026,0.0,-3.0517578125e-05,False
raid,llada_8b_vrpo,score,4129.987442970276,0.0,0.044651031494140625,False
raid,llada_8b_vrpo,pawn,41203.66012096405,0.0,0.240325927734375,False
raid,llada_8b_vrpo,embedding,4078.4321632385254,0.0,-0.058238983154296875,False
raid,llada_8b_vrpo,zero_shot,4150.095744132996,0.0,-0.000637054443359375,False
raid,dream_llada_7b,score,3661.0538716316223,0.0,0.022525787353515625,False
raid,dream_llada_7b,pawn,36527.147866010666,0.0,0.035984039306640625,False
raid,dream_llada_7b,embedding,3608.844672203064,0.0,0.13351821899414062,False
raid,dream_llada_7b,zero_shot,3696.8675560951233,0.0,7.62939453125e-06,False
deepfaketextdetect,llada_8b_base,score,3981.6539957523346,0.0,0.023616790771484375,False
deepfaketextdetect,llada_8b_base,pawn,40483.40015697479,0.0,-6.398937225341797,False
deepfaketextdetect,llada_8b_base,embedding,4063.86248588562,0.0,-0.010112762451171875,False
deepfaketextdetect,llada_8b_base,zero_shot,4125.69424533844,0.0,-0.054309844970703125,False
deepfaketextdetect,llada_8b_vrpo,score,4049.326695203781,0.0,-0.037586212158203125,False
deepfaketextdetect,llada_8b_vrpo,pawn,40369.3277425766,0.0,-0.22432327270507812,False
deepfaketextdetect,llada_8b_vrpo,embedding,4001.163774251938,0.0,8.0108642578125e-05,False
deepfaketextdetect,llada_8b_vrpo,zero_shot,4074.9229476451874,0.0,3.814697265625e-05,False
deepfaketextdetect,dream_llada_7b,score,3592.2222168445587,0.0,-0.0399627685546875,False
deepfaketextdetect,dream_llada_7b,pawn,35980.16111755371,0.0,-0.1088409423828125,False
deepfaketextdetect,dream_llada_7b,embedding,3545.443639278412,0.0,0.13256072998046875,False
deepfaketextdetect,dream_llada_7b,zero_shot,3608.740940093994,0.0,-0.07126235961914062,False
